ID,Escola,Endereco_Escola,Serie,Turma,Nome_Aluno,Genero,Idade_Aluno,CPF_Aluno,Telefone_Aluno,Endereco_Completo,Municipio,UF,CEP,Deficiencia,Nome_Responsavel,Parentesco,CPF_Responsavel,Telefone_Responsavel,Protocolo,Status_Matricula,Renda_Familiar,Tem_Irmaos,Numero_Irmaos,Idades_Irmaos,Trabalha_Fora,Horas_Trabalho_Semana,Tipo_Trabalho,Tempo_Deslocamento_Min,Meio_Transporte,Acesso_Internet,Tem_Computador,Apoio_Familiar_Estudos,Faz_Refeicao_Escola,Matematica_1Bim,Matematica_2Bim,Matematica_3Bim,Matematica_4Bim,Media_Matematica,Portugues_1Bim,Portugues_2Bim,Portugues_3Bim,Portugues_4Bim,Media_Portugues,Media_Geral,Frequencia_Percentual,Cor_Raca,Area_Climatica,Impacto_Seca,Area_Risco_Ambiental,Seguranca_Trajeto,Refeicoes_Diarias,Seguranca_Alimentar,Ambiente_Familiar,Responsabilidades_Casa
36,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Luiz Costa Gomes,M,17,756.656.636-73,(83) 99821-3198,"Rua Assis Chateaubriand, 99, Casa A - Centro, Areia - PB, 58266-848",Areia,PB,58266-848,Nenhuma,João Fernandes Costa,Pai,909.402.681-96,(83) 99550-4164,2025740632,Aguardando vaga,2500,Não,0,,Não,0,,114,Ônibus,Apenas celular,Sim,Baixo,Sim,4.4,3.9,3.3,2.8,3.6,5.4,4.9,4.3,3.8,4.7,4.152419451516236,84,Branca,Interior Semiárido,Levemente Afetado,Risco Médio,Inseguro,4,Segura,Tranquilo,Poucas
37,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Valentina Barbosa Pereira,F,16,236.589.256-68,(83) 99531-7121,"Rua José Augusto Trindade, 388, Apt 101 - Cruz das Armas, João Pessoa - PB, 58796-872",João Pessoa,PB,58796-872,Física,André Rocha Nascimento,Tia,820.470.179-82,(83) 98229-2011,2025630041,Contemplação direta,2591,Sim,5,"15, 4, 7, 19, 16",Sim,31,Informal,24,Transporte escolar,Apenas celular,Não,Médio,Sim,1.1,0.6,0.0,0.0,0.3,1.5,1.0,0.4,0.0,0.8,0.757279784372398,70,Preta,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,3,Segura,Tranquilo,Poucas
38,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Valentina Moreira Martins,F,17,990.486.484-20,(83) 99398-9835,"Av. Cruz das Armas, 61 - Cruz das Armas, João Pessoa - PB, 58502-641",João Pessoa,PB,58502-641,Nenhuma,José Silva Garcia,Avô,123.405.574-96,(83) 99472-9920,2025657772,Contemplação direta,1200,Sim,2,"9, 7",Não,0,,9,Transporte escolar,Apenas celular,Sim,Médio,Sim,4.8,5.3,5.9,6.4,5.6,7.3,7.8,8.4,8.9,8.2,6.793575041975528,71,Preta,Urbano Litorâneo,Levemente Afetado,Não,Inseguro,3,Segura,Conflituoso,Muitas
39,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Larissa Barbosa Garcia,F,17,342.409.997-28,(83) 99352-9540,"Av. Cruz das Armas, 141 - Castelo Branco, João Pessoa - PB, 58705-852",João Pessoa,PB,58705-852,Nenhuma,Gabriela Almeida Santos,Avó,452.758.787-58,(83) 99609-9592,2025830132,Contemplação direta,1133,Sim,5,"16, 8, 8, 10, 5",Não,0,,98,A pé,Não,Não,Médio,Sim,0.0,0.0,0.3,0.8,0.0,0.0,0.1,0.7,1.2,0.5,0.0,70,Parda,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,1,Moderada Insegurança,Tranquilo,Moderadas
40,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Vera Silva Alves,F,16,859.220.864-71,(83) 99872-4974,"Av. Floriano Peixoto, 469 - Centro, Campina Grande - PB, 58429-894",Campina Grande,PB,58429-894,Nenhuma,Alice Lima Ribeiro,Avó,625.609.577-22,(83) 99644-8692,2025312994,Contemplação direta,1500,Sim,2,"5, 1",Sim,44,Ajudante,119,Carona,Apenas celular,Sim,Médio,Sim,0.8,0.3,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,70,Parda,Urbano,Levemente Afetado,Risco Baixo,Pouco Seguro,4,Segura,Tranquilo,Poucas
41,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Roberto Silva Carvalho,M,16,962.745.336-18,(83) 99448-3474,"Rua José Augusto Trindade, 192 - Castelo Branco, João Pessoa - PB, 58753-782",João Pessoa,PB,58753-782,TDAH,Maria Silva Araújo,Tia,664.521.112-12,(83) 99084-5501,2025400614,Contemplação direta,2500,Sim,2,"4, 4",Não,0,,24,Transporte escolar,Sim (banda larga),Não,Baixo,Sim,3.1,3.6,4.2,4.7,3.9,3.5,4.0,4.6,5.1,4.4,4.089307680719451,85,Preta,Urbano Litorâneo,Não Afetado,Não,Seguro,3,Segura,Tranquilo,Muitas
42,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Bianca Gonçalves Costa,F,16,640.143.335-37,(83) 99845-8790,"Rua das Trincheiras, 351 - Alto do Mateus, João Pessoa - PB, 58677-773",João Pessoa,PB,58677-773,Nenhuma,Maria Alves Melo,Avó,247.870.940-60,(83) 99902-2260,2025270341,Contemplação direta,1060,Não,0,,Não,0,,117,Transporte escolar,Não,Não,Alto,Não,2.4,2.5,2.3,3.0,2.8,1.5,0.9,1.6,0.7,1.2,1.7278917177174735,72,Branca,Urbano Litorâneo,Não Afetado,Risco Alto,Inseguro,1,Moderada Insegurança,Tranquilo,Muitas
43,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Vinicius Melo Correia,M,17,187.890.733-47,(83) 99634-5037,"Rua Coronel João Pessoa, 79, Apt 101 - Vila Nova, Alagoa Grande - PB, 58857-498",Alagoa Grande,PB,58857-498,Nenhuma,João Gomes Rocha,Pai,468.879.376-23,(83) 98271-2430,2025551914,Contemplação direta,3689,Sim,1,3,Sim,17,Ajudante,20,Van escolar,Apenas celular,Sim,Médio,Sim,3.5,4.0,4.6,5.1,4.3,0.6,1.1,1.7,2.2,1.5,3.1659351601646564,74,Preta,Agreste,Não Afetado,Não,Pouco Seguro,3,Segura,Tensão Moderada,Moderadas
44,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Miguel Gomes Silva,M,17,440.961.735-58,(83) 99646-6399,"Rua José Augusto Trindade, 418, Casa A - Cruz das Armas, João Pessoa - PB, 58428-717",João Pessoa,PB,58428-717,Nenhuma,Gustavo Costa Gomes,Avó,852.811.748-72,(83) 99981-4971,2025494322,Contemplação direta,2500,Sim,5,"7, 19, 18, 6, 18",Sim,38,Informal,11,Transporte escolar,Sim (banda larga),Não,Baixo,Sim,1.5,1.3,1.6,1.7,1.5,2.8,2.9,2.6,2.7,3.0,2.445227154631911,82,Branca,Urbano Litorâneo,Não Afetado,Risco Baixo,Seguro,4,Segura,Conflituoso,Muitas
45,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Gabriel Garcia Pereira,M,17,270.762.727-15,(83) 99153-7547,"Av. Presidente Vargas, 55 - Centro, Guarabira - PB, 58364-327",Guarabira,PB,58364-327,Nenhuma,Fernando Ribeiro Martins,Pai,574.890.795-85,(83) 99414-9199,2025461724,Lista de espera,1500,Sim,1,4,Não,0,,96,Transporte escolar,Apenas celular,Não,Médio,Sim,1.1,1.6,1.3,2.0,1.5,0.8,1.1,0.8,0.3,0.8,1.3044207744794525,70,Preta,Interior Semiárido,Levemente Afetado,Não,Inseguro,2,Leve Insegurança,Tranquilo,Moderadas
46,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Bianca Ferreira Ferreira,F,17,505.129.855-88,(83) 99808-4232,"Rua José Augusto Trindade, 200, Apt 101 - Castelo Branco, João Pessoa - PB, 58310-385",João Pessoa,PB,58310-385,Nenhuma,Eduardo Costa Alves,Tia,568.216.368-95,(83) 99766-9019,2025770153,Contemplação direta,3555,Sim,1,12,Sim,29,Ajudante,7,A pé,Sim (banda larga),Não,Alto,Sim,3.7,3.0,3.0,3.4,3.3,2.1,2.5,2.5,2.0,2.1,2.4417157712219666,73,Parda,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,3,Segura,Tranquilo,Poucas
47,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Claudia Rocha Barbosa,F,16,986.467.109-72,(83) 98279-4196,"Rua Principal, 210, Bloco 2 - São José, Solânea - PB, 58827-960",Solânea,PB,58827-960,Nenhuma,Diego Silva Gonçalves,Tia,879.325.399-14,(83) 98562-4683,2025402692,Contemplação direta,1500,Não,0,,Não,0,,109,Ônibus,Apenas celular,Não,Médio,Não,0.0,0.2,0.0,0.1,0.0,0.7,0.8,0.4,1.0,0.8,0.1937682347566782,70,Preta,Interior Semiárido,Muito Afetado,Não,Seguro,4,Leve Insegurança,Tranquilo,Poucas
48,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Rita Dias Barbosa,F,17,269.730.242-36,(83) 99666-4390,"Rua Principal, 273 - São José, Solânea - PB, 58651-272",Solânea,PB,58651-272,Autismo leve,Alice Melo Lima,Mãe,978.626.795-22,(83) 98277-7743,2025390794,Aguardando vaga,800,Não,0,,Sim,37,Serviços domésticos,105,Transporte escolar,Apenas celular,Não,Médio,Sim,2.5,2.0,1.4,0.9,1.7,0.7,0.2,0.0,0.0,0.0,0.8809013396437948,70,Parda,Interior Semiárido,Levemente Afetado,Não,Seguro,3,Segura,Conflituoso,Poucas
49,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Isabela Carvalho Lopes,F,16,606.374.430-46,(83) 98691-9967,"Rua Principal, 404 - São José, Solânea - PB, 58147-201",Solânea,PB,58147-201,Visual leve,Maria Souza Nunes,Pai,978.261.551-68,(83) 98001-8009,2025822040,Lista de espera,2500,Sim,3,"3, 12, 9",Sim,36,Agricultura,115,Ônibus,Apenas celular,Não,Baixo,Sim,2.1,1.6,1.0,0.5,1.3,1.1,0.6,0.0,0.0,0.4,0.777683513492213,70,Parda,Interior Semiárido,Muito Afetado,Risco Médio,Seguro,3,Segura,Conflituoso,Moderadas
50,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Gustavo Garcia Lopes,M,16,756.793.246-18,(83) 99086-1138,"Av. Floriano Peixoto, 180, Apt 101 - Liberdade, Campina Grande - PB, 58743-866",Campina Grande,PB,58743-866,TDAH,Rita Alves Oliveira,Avó,202.243.870-25,(83) 99207-7291,2025550246,Contemplação direta,2424,Sim,1,8,Sim,34,Ajudante,114,Van escolar,Apenas celular,Não,Baixo,Sim,7.2,7.8,7.5,7.5,7.6,8.4,8.4,8.7,7.8,8.2,7.846297128601481,70,Preta,Urbano,Não Afetado,Não,Seguro,3,Segura,Tensão Moderada,Poucas
51,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Roberto Almeida Garcia,M,16,117.701.169-11,(83) 98536-4534,"Rua das Trincheiras, 486 - Jaguaribe, João Pessoa - PB, 58393-743",João Pessoa,PB,58393-743,Visual leve,Débora Martins Oliveira,Mãe,755.649.650-88,(83) 98312-5546,2025424960,Contemplação direta,3500,Não,0,,Não,0,,21,Ônibus,Sim (banda larga),Não,Baixo,Sim,7.1,6.6,6.0,5.5,6.3,9.2,8.7,8.1,7.6,8.5,7.235161187324974,85,Branca,Urbano Litorâneo,Levemente Afetado,Não,Seguro,3,Segura,Tensão Moderada,Moderadas
52,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Laura Ribeiro Rodrigues,F,17,850.220.889-13,(83) 98686-8034,"Rua das Trincheiras, 135, Bloco 2 - Castelo Branco, João Pessoa - PB, 58566-623",João Pessoa,PB,58566-623,Nenhuma,Eduardo Ferreira Lima,Pai,891.205.687-96,(83) 99480-2889,2025876764,Contemplação direta,1529,Não,0,,Sim,30,Serviços domésticos,16,Bicicleta,Não,Sim,Baixo,Sim,0.8,0.3,0.0,0.0,0.0,2.4,1.9,1.3,0.8,1.7,0.05363648885730621,70,Indígena,Urbano Litorâneo,Não Afetado,Risco Alto,Pouco Seguro,3,Segura,Tensão Moderada,Poucas
53,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Juliana Araújo Rocha,F,16,477.305.398-82,(83) 99606-5979,"Av. Floriano Peixoto, 189, Bloco 2 - Liberdade, Campina Grande - PB, 58891-894",Campina Grande,PB,58891-894,Nenhuma,Miguel Silva Nunes,Avó,519.124.338-79,(83) 98709-1157,2025101533,Aguardando vaga,2730,Não,0,,Sim,21,Ajudante,15,Transporte escolar,Apenas celular,Não,Baixo,Sim,6.3,5.8,5.2,4.7,5.5,7.4,6.9,6.3,5.8,6.7,6.315671755371674,89,Branca,Urbano,Não Afetado,Risco Médio,Seguro,3,Segura,Tranquilo,Poucas
54,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Camila Lima Pereira,F,16,307.239.898-84,(83) 98223-3546,"Rua José Augusto Trindade, 239, Bloco 2 - Alto do Mateus, João Pessoa - PB, 58223-648",João Pessoa,PB,58223-648,Dislexia,Fernando Gomes Rocha,Tio,371.972.222-21,(83) 98322-5984,2025830729,Contemplação direta,1200,Não,0,,Sim,37,Agricultura,16,Bicicleta,Apenas celular,Sim,Alto,Sim,3.3,2.8,2.2,1.7,2.5,3.8,3.3,2.7,2.2,3.1,2.8649131044486977,75,Branca,Urbano Litorâneo,Não Afetado,Risco Baixo,Seguro,2,Leve Insegurança,Tensão Moderada,Poucas
55,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,João Oliveira Alves,M,17,928.231.194-52,(83) 98250-1699,"Rua São Sebastião, 474, Bloco 2 - Vila Nova, Alagoa Grande - PB, 58608-130",Alagoa Grande,PB,58608-130,Nenhuma,Eduardo Alves Nunes,Mãe,291.381.386-67,(83) 99809-3435,2025743937,Contemplação direta,3892,Sim,4,"18, 16, 2, 3",Sim,19,Informal,29,Transporte escolar,Sim (banda larga),Não,Médio,Não,2.2,2.7,3.3,3.8,3.0,1.6,2.1,2.7,3.2,2.5,2.5152491679573603,74,Parda,Agreste,Não Afetado,Risco Baixo,Inseguro,3,Leve Insegurança,Tranquilo,Moderadas
56,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Mateus Correia Pereira,M,17,646.935.910-17,(83) 99564-4594,"Rua Assis Chateaubriand, 479, Apt 101 - Centro, Areia - PB, 58342-706",Areia,PB,58342-706,Auditiva leve,Vera Melo Silva,Tia,820.817.460-82,(83) 99154-3328,2025297377,Aguardando vaga,2500,Não,0,,Não,0,,110,Transporte escolar,Apenas celular,Sim,Alto,Sim,4.4,4.3,4.5,4.2,4.3,5.2,5.7,6.1,5.3,5.7,4.9605181606800555,91,Branca,Interior Semiárido,Muito Afetado,Não,Pouco Seguro,3,Segura,Tranquilo,Poucas
57,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Leonardo Gomes Costa,M,16,261.849.547-91,(83) 99967-8982,"Rua Marquês do Herval, 496 - Liberdade, Campina Grande - PB, 58905-465",Campina Grande,PB,58905-465,Nenhuma,Gustavo Gomes Fernandes,Tio,805.401.230-32,(83) 99492-1029,2025700660,Contemplação direta,2128,Não,0,,Sim,34,Serviços domésticos,117,Transporte escolar,Apenas celular,Sim,Médio,Sim,8.0,7.5,6.9,6.4,7.2,7.1,6.6,6.0,5.5,6.4,6.900354336384702,72,Preta,Urbano,Não Afetado,Não,Inseguro,3,Segura,Tranquilo,Moderadas
58,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Rosa Martins Ribeiro,F,17,203.948.590-83,(83) 99333-4695,"Rua das Trincheiras, 410, Casa A - Castelo Branco, João Pessoa - PB, 58120-426",João Pessoa,PB,58120-426,Dislexia,Leonardo Ferreira Moreira,Avó,484.264.849-19,(83) 99120-2525,2025722886,Lista de espera,2500,Não,0,,Não,0,,13,Transporte escolar,Sim (banda larga),Não,Alto,Sim,4.5,5.0,5.6,6.1,5.3,4.3,4.8,5.4,5.9,5.2,5.210258353896711,84,Parda,Urbano Litorâneo,Não Afetado,Não,Seguro,4,Segura,Tranquilo,Poucas
59,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,João Alves Ferreira,M,17,183.584.964-24,(83) 98631-7512,"Av. Cruz das Armas, 47, Apt 101 - Jaguaribe, João Pessoa - PB, 58479-490",João Pessoa,PB,58479-490,Nenhuma,Guilherme Rocha Rocha,Pai,369.331.957-44,(83) 99155-2009,2025888775,Contemplação direta,800,Sim,5,"14, 19, 8, 18, 2",Não,0,,16,Transporte escolar,Apenas celular,Não,Baixo,Sim,5.0,4.5,3.9,3.4,4.2,2.4,1.9,1.3,0.8,1.7,2.875119321863426,73,Preta,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,3,Segura,Tranquilo,Moderadas
60,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Vinicius Carvalho Alves,M,16,954.709.364-50,(83) 99865-2097,"Rua José Augusto Trindade, 283, Casa A - Alto do Mateus, João Pessoa - PB, 58632-569",João Pessoa,PB,58632-569,Visual leve,Beatriz Carvalho Rodrigues,Mãe,251.680.702-84,(83) 99553-2641,2025690016,Aguardando vaga,2500,Não,0,,Não,0,,5,Bicicleta,Apenas celular,Não,Médio,Sim,2.6,3.1,3.7,4.2,3.4,4.5,5.0,5.6,6.1,5.4,3.967715474010106,78,Parda,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,3,Segura,Tensão Moderada,Poucas
61,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Antônio Pereira Rodrigues,M,18,861.553.892-51,(83) 98551-7828,"Rua São Sebastião, 227, Bloco 2 - São Sebastião, Alagoa Grande - PB, 58858-596",Alagoa Grande,PB,58858-596,Nenhuma,Claudia Santos Nascimento,Avô,910.262.167-49,(83) 99453-9303,2025242239,Aguardando vaga,1151,Sim,2,"7, 7",Não,0,,97,Transporte escolar,Não,Sim,Médio,Sim,1.8,1.3,0.7,0.2,1.0,0.7,0.2,0.0,0.0,0.0,0.0,70,Parda,Agreste,Muito Afetado,Risco Baixo,Seguro,2,Moderada Insegurança,Tranquilo,Muitas
62,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Antônio Pereira Cardoso,M,17,793.311.375-93,(83) 98838-9409,"Rua das Trincheiras, 243, Apt 101 - Cruz das Armas, João Pessoa - PB, 58715-920",João Pessoa,PB,58715-920,Nenhuma,Débora Dias Cardoso,Pai,381.533.485-54,(83) 98940-5128,2025589368,Contemplação direta,1673,Sim,5,"4, 1, 17, 12, 18",Sim,34,Serviços domésticos,5,Bicicleta,Apenas celular,Não,Médio,Sim,7.1,6.4,6.7,6.6,6.9,5.9,5.6,6.5,6.1,6.1,6.492276825607661,70,Preta,Urbano Litorâneo,Muito Afetado,Risco Baixo,Seguro,3,Segura,Tensão Moderada,Moderadas
63,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Rafaela Santos Melo,F,17,451.843.830-38,(83) 99405-9759,"Rua Assis Chateaubriand, 260, Apt 101 - Cepilho, Areia - PB, 58960-773",Areia,PB,58960-773,Nenhuma,Carlos Rodrigues Fernandes,Tio,364.842.927-81,(83) 99562-3999,2025451936,Contemplação direta,1200,Sim,3,"14, 11, 12",Sim,24,Informal,117,Ônibus,Apenas celular,Não,Médio,Não,1.1,1.6,2.2,2.7,1.9,2.2,2.7,3.3,3.8,3.1,2.590116367163939,75,Branca,Interior Semiárido,Muito Afetado,Não,Seguro,2,Leve Insegurança,Tranquilo,Moderadas
64,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Leonardo Cardoso Santos,M,17,562.380.314-31,(83) 99180-3595,"Rua das Trincheiras, 67, Bloco 2 - Jaguaribe, João Pessoa - PB, 58513-539",João Pessoa,PB,58513-539,Nenhuma,Bruno Alves Fernandes,Tio,482.114.429-77,(83) 98390-1293,2025104324,Contemplação direta,2220,Sim,3,"10, 5, 4",Sim,33,Serviços domésticos,20,Transporte escolar,Sim (banda larga),Sim,Baixo,Sim,1.2,0.5,1.3,0.5,0.8,0.6,0.2,0.7,0.7,0.3,0.3744917082165198,70,Parda,Urbano Litorâneo,Não Afetado,Não,Seguro,2,Leve Insegurança,Tranquilo,Moderadas
65,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Gustavo Moreira Cardoso,M,18,889.647.738-16,(83) 99216-1785,"Rua São Sebastião, 354, Bloco 2 - Centro, Alagoa Grande - PB, 58554-489",Alagoa Grande,PB,58554-489,Nenhuma,Débora Rodrigues Alves,Tio,811.802.745-11,(83) 98616-7895,2025205885,Contemplação direta,1200,Sim,2,"14, 4",Sim,34,Comércio,103,Van escolar,Sim (banda larga),Sim,Médio,Sim,2.0,1.5,0.9,0.4,1.2,0.7,0.2,0.0,0.0,0.0,0.0,70,Preta,Agreste,Não Afetado,Não,Seguro,2,Leve Insegurança,Tranquilo,Poucas
66,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Bianca Pereira Rocha,F,18,370.575.151-22,(83) 99665-3862,"Av. Presidente Vargas, 411, Casa A - Nordeste, Guarabira - PB, 58536-856",Guarabira,PB,58536-856,Nenhuma,João Marques Rodrigues,Tia,779.762.274-52,(83) 98732-8171,2025381342,Aguardando vaga,800,Não,0,,Sim,27,Informal,83,Carona,Apenas celular,Não,Baixo,Sim,1.4,0.9,0.3,0.0,0.6,2.4,1.9,1.3,0.8,1.7,1.2144086019435048,70,Parda,Interior Semiárido,Muito Afetado,Risco Baixo,Pouco Seguro,3,Segura,Tensão Moderada,Moderadas
67,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Francisco Carvalho Rocha,M,17,164.367.770-50,(83) 98025-9598,"Rua São Francisco, 490 - São José, Solânea - PB, 58635-804",Solânea,PB,58635-804,Nenhuma,Carlos Ribeiro Correia,Mãe,792.756.494-29,(83) 99718-1894,2025774652,Lista de espera,2445,Sim,4,"6, 3, 16, 11",Sim,23,Comércio,114,Transporte escolar,Sim (banda larga),Não,Baixo,Sim,2.4,1.9,1.3,0.8,1.6,0.7,0.2,0.0,0.0,0.0,0.0,70,Preta,Interior Semiárido,Levemente Afetado,Não,Pouco Seguro,3,Segura,Tensão Moderada,Moderadas
68,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Claudia Santos Lopes,F,17,964.565.439-81,(83) 99571-8751,"Rua João Suassuna, 232 - Centro, Guarabira - PB, 58877-774",Guarabira,PB,58877-774,Nenhuma,Claudia Cardoso Gonçalves,Mãe,398.660.634-57,(83) 99437-2741,2025272129,Contemplação direta,614,Não,0,,Não,0,,149,Van escolar,Não,Sim,Baixo,Sim,0.7,1.2,1.8,2.3,1.5,0.0,0.0,0.2,0.7,0.0,0.0,70,Branca,Interior Semiárido,Muito Afetado,Risco Médio,Pouco Seguro,1,Moderada Insegurança,Tranquilo,Moderadas
69,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Marcelo Melo Ferreira,M,17,206.496.773-86,(83) 99241-6273,"Rua Assis Chateaubriand, 312, Casa A - Centro, Areia - PB, 58507-451",Areia,PB,58507-451,Nenhuma,Miguel Carvalho Barbosa,Avó,816.866.624-48,(83) 99726-9975,2025846454,Aguardando vaga,651,Sim,2,"20, 10",Não,0,,114,Transporte escolar,Não,Não,Baixo,Sim,2.3,1.8,1.2,0.7,1.5,1.0,0.5,0.0,0.0,0.3,1.077224738567655,70,Preta,Interior Semiárido,Muito Afetado,Não,Pouco Seguro,1,Grave Insegurança,Tensão Moderada,Muitas
70,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Bernardo Correia Lima,M,17,959.163.807-47,(83) 98417-9866,"Rua José Augusto Trindade, 53 - Cruz das Armas, João Pessoa - PB, 58498-343",João Pessoa,PB,58498-343,Visual leve,Débora Correia Santos,Mãe,490.496.526-97,(83) 98640-1881,2025879794,Contemplação direta,1139,Não,0,,Não,0,,124,Transporte escolar,Não,Não,Médio,Sim,2.4,1.9,1.3,0.8,1.6,4.1,3.6,3.0,2.5,3.4,2.806798215968877,71,Branca,Urbano Litorâneo,Levemente Afetado,Não,Pouco Seguro,1,Moderada Insegurança,Tranquilo,Moderadas
71,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Miguel Nunes Costa,M,17,892.740.730-94,(83) 98616-9037,"Rua Principal, 38 - São José, Solânea - PB, 58325-288",Solânea,PB,58325-288,Nenhuma,Ricardo Araújo Araújo,Tio,513.194.457-38,(83) 99809-4495,2025448005,Contemplação direta,1200,Não,0,,Sim,30,Ajudante,111,Ônibus,Sim (banda larga),Não,Alto,Sim,5.5,5.4,5.6,5.5,5.6,7.0,7.5,7.1,7.5,7.4,6.236776255708147,74,Indígena,Interior Semiárido,Levemente Afetado,Não,Seguro,2,Leve Insegurança,Tranquilo,Moderadas
72,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",3º Ano,3A,Roberto Araújo Araújo,M,17,741.167.315-95,(83) 99289-4492,"Rua Getúlio Vargas, 106 - Cepilho, Areia - PB, 58864-802",Areia,PB,58864-802,Nenhuma,Ana Oliveira Oliveira,Tia,155.282.913-42,(83) 99142-2154,2025961530,Contemplação direta,1200,Sim,4,"14, 11, 1, 13",Não,0,,104,Ônibus,Apenas celular,Não,Baixo,Sim,1.5,1.1,2.0,1.1,1.5,0.7,1.0,0.3,0.2,0.5,1.407347022588867,70,Preta,Interior Semiárido,Levemente Afetado,Risco Baixo,Inseguro,3,Segura,Conflituoso,Muitas
